# English voice loudness, measured at volume=1.0, sample='I finished the refactor and all the tests pass.'. RMS dBFS (higher=louder). Sorted loudest first.
rms_dbfs	name	voice_id
-18.2	Steve - Baritone	9fb269e7-70fe-4cbe-aa3f-28bdb67e3e84
-18.2	Tyler - Friendly Salesman	820a3788-2b37-4d21-847a-b65d8a68c99a
-18.2	Troy - Fix It Man	726d5ae5-055f-4c3d-8355-d9677de68937
-18.2	Gary - Composed Advisor	dc52ada6-0e11-4684-a8fa-e0af5b7bdcb2
-18.3	Joan - Messenger	c9440d34-5641-427b-bbb7-80ef7462576d
-18.3	Steve - Angry Baritone	7c8ba972-4960-4c43-bea0-8178e2205696
-18.3	Ruby - Helpful Handler	ed9ccfa4-8fa1-40f8-bfb2-cb7d67d2f9cd
-18.3	Carson - Disgusted Friendly Support	ee8b13e7-98af-4b15-89d1-8d402be10c94
-18.3	Pippa - Bright Assistant	81cd8d19-45e7-47b2-ad0e-bcd94f557ad0
-18.3	Nathan - Easy Talker	97f4b8fb-f2fe-444b-bb9a-c109783a857a
-18.3	Ellen - Welcome Agent	a151affa-feaa-439e-8df8-c1d3f91dc6b9
-18.4	Callie - Encourager	00a77add-48d5-4ef6-8157-71e5437b282d
-18.4	Betty - Reassured Guide	fdd6abff-902a-4885-9f5f-0d3d9f7567e5
-18.4	Linda - Conversational Guide	829ccd10-f8b3-43cd-b8a0-4aeaa81f3b30
-18.4	Michelle - Empathetic Voice	d7bf7d75-64b7-4c1e-86c0-79d647366587
-18.4	Ruth - Manager	11af83e2-23eb-452f-956e-7fee218ccb5c
-18.4	Cooper - Friendly Mate	49743b08-0f5d-4741-839c-b12933853780
-18.5	Ronald - Thinker	5ee9feff-1265-424a-9d7f-8e4d431a12c7
-18.5	Cindy Baker - Receptionist	f039066f-cdb7-45ed-b51d-1034ae2f04a0
-18.5	Connor - Grateful Person	92c41dd4-04aa-45de-8504-a92b40cb8818
-18.5	Caspian - Oracle	d7862948-75c3-4c7c-ae28-2959fe166f49
-18.6	Siobhan - Warm Welcomer	d79d2b77-9192-4e10-9407-5d43ca034803
-18.6	Sarah - Mindful Woman	694f9389-aac1-45b6-b726-9d9369183238
-18.7	Trevor - Movieman	c45bc5ec-dc68-4feb-8829-6e6b2748095d
-18.7	Yasmin - Dialogue Anchor	daf747c6-6bc2-4083-bd59-aa94dce23f5d
-18.7	Steve - Happy Baritone	adde00e9-c98f-42ae-a94d-fc9f92f11c76
-18.7	Derek - Deep Advisor	68fb6747-b6ea-4c44-a18e-4e29921424d3
-18.7	Benedict - Royal Narrator	7cf0e2b1-8daf-4fe4-89ad-f6039398f359
-18.7	Tim - Pal	146485fd-8736-41c7-88a8-7cdd0da34d84
-18.7	Daisy - Reading Girl	32b3f3c5-7171-46aa-abe7-b598964aa793
-18.8	Hana - Easygoing Support	db408a93-859c-4a0a-b6a2-220c074cc90d
-18.8	David - Angry Greeter	fd098a10-ba9e-445e-b144-be2a9f3dac02
-18.8	Dottie - Sweet Gal	e3827ec5-697a-4b7c-9704-1a23041bbc51
-18.8	Heath - Calm & Composed	eb7d0d3b-e427-483b-bbca-1c009c33f8a7
-18.9	Imogen - Polished Guide	5a93ae96-9e3e-4b9d-8575-5f62b7de6d0f
-18.9	Barry 2.0 - Helper	4fb26a05-57de-4d21-855a-f51adae44f38
-18.9	Ethan - Casual Assistant	f0e50f2a-9116-4510-9c5b-fec928daff4b
-19.0	Camille - Friendly Expert	55deba52-bc73-4481-ab69-9c8831c8a7c3
-19.0	Arthur - Polished Advisor	bb7e8daa-8b79-47a2-8408-a7a1cc72b53c
-19.0	Madison - Sad Best Friend	27c12970-3efb-4f39-a78a-2fbb7bddc941
-19.0	Jake - Sidekick	729651dc-c6c3-4ee5-97fa-350da1f88600
-19.0	Zack - Sportsman	ed81fd13-2016-4a49-8fe3-c0d2761695fc
-19.1	Carson - Surprised Friendly Support	66f5935b-af2e-4ec9-bb3e-59112e9ddc93
-19.1	David - Sad Greeter	c4e848dc-d4fd-4bc8-90ea-8525563ec0e5
-19.1	Calypso - ASMR Lady	03496517-369a-4db1-8236-3d3ae459ddf7
-19.1	Keith - Easygoing Friend	9fa83ce3-c3a8-4523-accc-173904582ced
-19.2	Carson - Friendly Support	4df027cb-2920-4a1f-8c34-f21529d5c3fe
-19.3	Luke - Broadway Voice	7b2c0a2e-3dd3-4a44-b16b-26ecd8134279
-19.3	Samantha - Happy Support Leader	761afc95-bef5-44dd-aa07-d3c678912e43
-19.3	Cindy - Receptionist	1242fb95-7ddd-44ac-8a05-9e8a22a6137d
-19.3	Steve - Curious Baritone	c1c65fc2-528a-4dde-a2c4-f822785c2704
-19.4	Steve - Disgusted Baritone	f96dc0b1-7900-4894-a339-81fb46d515a7
-19.4	Aina - Meditation Guru	80c81aee-b6ad-4d12-9af8-a9c79c2e141d
-19.4	Luke - Happy Broadway Voice	3d79b1fd-daaa-439c-bff3-903dc18e7684
-19.5	Brenda - Host	607167f6-9bf2-473c-accc-ac7b3b66b30b
-19.5	Jameson - Easygoing Support	a5136bf9-224c-4d76-b823-52bd5efcffcc
-19.5	Olivia - Sunny Woman	f31cc6a7-c1e8-4764-980c-60a361443dd1
-19.5	Robyn - Storycrafter	8985388c-1332-4ce7-8d55-789628aa3df4
-19.6	Lexi - Fun Friend	56b87df1-594d-4135-992c-1112bb504c59
-19.6	Conor - Decisive Agent	1ec736fa-db96-4eea-9299-235ce2cb7a0e
-19.6	Carson - Angry Friendly Support	0b32066b-2bcc-44b9-89ab-0223a09d1606
-19.6	Pieter - Polished Analyst	baf84392-fa95-4d44-8871-d32ee36b0e01
-19.7	Alistair - Composed Consultant	c8f7835e-28a3-4f0c-80d7-c1302ac62aae
-19.8	Saira - Organized Coordinator	1e9b9b3d-d2ce-4cac-9d05-bc36a63fa28e
-19.8	Jane - Digital Guide	2a17e905-8f14-4db7-9b9d-9223a8e3f278
-19.8	Savannah - Magnolia Belle	78ab82d5-25be-4f7d-82b3-7ad64e5b85b2
-19.9	Fiona - Witty Woman	a01c369f-6d2d-4185-bc20-b32c225eab70
-19.9	Lori - Cheerleader	57c63422-d911-4666-815b-0c332e4d7d6a
-19.9	Lucy - Capable Coordinator	2f251ac3-89a9-4a77-a452-704b474ccd01
-19.9	Samantha - Angry Support Leader	04bfd756-4fd4-42c2-9ccf-37f647c5bf54
-20.0	Madison - Disgusted Best Friend	5993c2c9-5d59-403e-b459-946c8b302086
-20.0	Levi - Steady Spokesman	4703c250-66e4-4682-a223-0a60acafcfc0
-20.0	David - Scared Greeter	a3a4fe2a-d402-41d1-be7d-28f71eda755f
-20.0	Luke - Scared Broadway Voice	63426c82-a0c9-4f23-a175-50eb64c95ec1
-20.0	Janet - Sunny Speaker	58fbaf73-d7de-4e82-a6b3-118180e7057c
-20.0	Gemma - Decisive Agent	62ae83ad-4f6a-430b-af41-a9bede9286ca
-20.1	Garrett - Enthusiastic Pal	c58bda25-abd5-4c72-97a2-4dbe049b368d
-20.2	David - Curious Greeter	b08c966e-2146-4592-99eb-3171a714a43c
-20.2	Aarav - Old Time Storyteller	39d518b7-fd0b-4676-9b8b-29d64ff31e12
-20.2	David - Disgusted Greeter	9d2b4a7f-7ced-4fb8-b570-9ce21fb931c8
-20.2	Joey - Neighborhood Guy	34575e71-908f-4ab6-ab54-b08c95d6597d
-20.2	Benedict - Measured Mediator	3c0f09d6-e0d7-499c-a594-70c5b7b93048
-20.3	Henry - Plainspoken Guy	87286a8d-7ea7-4235-a41a-dd9fa6630feb
-20.4	David - Surprised Greeter	10d17ae0-8f64-472a-be00-f00a98c729e0
-20.5	Luke - Angry Broadway Voice	61001bc6-9064-40a4-b8b2-29178e0fa558
-20.5	George - Composed Consultant	4bc3cb8c-adb9-4bb8-b5d5-cbbef950b991
-20.5	Steve - Scared Baritone	b1ce5126-4d08-42c3-adef-d3eb39e90c7a
-20.6	Thandi - Direct Dispatcher	692846ad-1a6b-49b8-bfc5-86421fd41a19
-20.6	Samantha - Yelling Support Leader	d3e03deb-5439-4203-add1-ca9a7501eaa7
-20.7	Luke - Disgusted Broadway Voice	79b8126f-c5d9-4a73-8585-ba5e1a077ed6
-20.7	Ben - Helpful Man	bbee10a8-4f08-4c5c-8282-e69299115055
-20.8	Lori - Surprised Cheerleader	c2da2a3e-b0d6-46bf-a09a-68562617a50a
-20.8	Madison - Surprised Best Friend	a5def41e-2e73-433f-92f7-5f1d99fef05d
-20.8	Steve - Surprised Baritone	6fd4f468-0345-4f41-81d0-3f48ebc295e0
-20.9	Johan - Deep Consultant	4b31d090-8d2d-4bcd-8a32-1c135301e26e
-20.9	Carson - Curious Conversationalist	86e30c1d-714b-4074-a1f2-1cb6b552fb49
-21.0	Madison - Scared Best Friend	30236d07-62d0-4c63-abf7-df46aa45e473
-21.0	Samantha - Support Leader	f4e8781b-a420-4080-81cf-576331238efa
-21.0	Alec - Spirited Salesman	17044048-bfab-44b2-9532-9c1b65e9c217
-21.0	Anele - Bright Presenter	072d954b-8379-4b6b-816a-bb0cd38725f8
-21.1	Madison - Curious Best Friend	98c87826-dba2-44f4-b123-4c7e3c8a2647
-21.3	Eleanor - Composed Clarifier	7d7d769c-5ab1-4dd5-bb17-ec8d4b69d03d
-21.4	Kate - Practical Voice	489b647b-5662-408f-8c95-82e26ef8d29e
-21.6	David - Happy Greeter	6b622a1d-906f-44af-b60c-7bef365bf124
-21.6	Maia - Agile Support	5a033900-2ed6-4fd4-a257-707f2688e713
-21.7	Jacqueline - Reassuring Agent	9626c31c-bec5-4cca-baa8-f8ba9e84c8bc
-21.7	Lori - Cheerleader	5cc54223-ec0c-4c50-87e9-b9947264e1f4
-21.7	Rupert - Caring Dad	0ad65e7f-006c-47cf-bd31-52279d487913
-21.7	Lori - Curious Cheerleader	ba0add52-783c-4ec0-8b9c-7a6b60f99d1c
-21.8	Quinn - Calm Authority	045f0292-0731-4a4c-971d-64594fc2c35a
-21.9	Luke - Surprised Broadway Voice	725d43d6-1196-480e-bd87-728ae5eff9e1
-21.9	Isla - Serene Flow	eef47c0d-cb49-4160-a4a0-6b97ed4c81e6
-21.9	Toby - Genuine Guide	3d5ce2fb-e56c-42f0-9ed9-4662484063b4
-22.0	Chase - Steady Helper	59cb0f89-5d66-49f8-b965-f72b252789e0
-22.0	Samantha - Sad Support Leader	5e10a334-7fa5-46d4-a64b-5ae6185da3fd
-22.0	Austin - Conversational Guide	1fcd23d0-bf12-4896-8f60-4f21ef5c9b98
-22.3	Kurt - Phone Support	efa653e5-314d-46ca-9f90-70ac7d6ca71e
-22.4	Kenneth - Friendly Rep	911b8b22-887f-4caf-bf87-85d834c08708
-22.4	Adrian - Explorer	e2d48e7b-cd73-4c4c-bc1e-f232580e8709
-22.4	Lily - Casual Pal	dda51133-5d43-4a3b-84e6-e68c13f60cba
-22.4	Lauren - Lively Narrator	a33f7a4c-100f-41cf-a1fd-5822e8fc253f
-22.4	Lawson - Suave Storyteller	d2c66146-c1c8-4c3a-9870-38e5a6b72442
-22.6	Carson - Scared Friendly Support	5c43e078-5ba4-4e1f-9639-8d85a403f76a
-22.7	Cera - Lighthearted Muse	3af40927-948e-429b-b92d-e2158f79fb9f
-22.7	Wesley - Chill Flow	6fccb471-26f7-4f7a-93dd-542935db6c20
-22.7	Wade - Southern Soul	3d83e30f-c31b-4f26-b442-7075feafa53a
-22.7	Carson - Friendly Support	96c64eb5-a945-448f-9710-980abe7a514c
-22.8	Albert - Firm Guide	9a0894a9-28f0-436e-9a1d-e92bccbce4dd
-22.9	Lori - Happy Cheerleader	8843adfb-77d3-455a-86f9-de0651555ec6
-23.0	Janice - Engaging Tone	69092565-1c93-4a88-9f2c-ac8cddaf9f65
-23.0	Paul - Straight Talker	3e1ed423-17e5-4773-b87c-25b031106e41
-23.0	Layla - Casual Friend	999df508-4de5-40a7-8bd3-8c12f678c284
-23.0	Caleb - Seasoned Pro	b9cf5ec3-eaa4-46a5-a5b2-b0d0f22395a2
-23.0	Carl - Steady Storyteller	ed82c17b-4704-4d34-be43-5d19065acdf1
-23.1	Melanie - Lively Spirit	dcc82bcd-647e-4478-955f-8232d5122f8b
-23.1	Elias - Night Warden	6a176356-ada1-4b48-b2ae-3a3fdd485680
-23.1	Wade 2.0 - Southern Soul	fbf7d2ec-ebea-49f2-8889-a482b9b0a7ed
-23.1	Hugh - Confident Veteran	4cf80313-54dc-4ca9-a17c-3e5b8f68a78c
-23.2	Benji - Joyful Spirit	2d5b8c3a-116c-4741-acaf-ba4fa289eba2
-23.2	Shelly - Warm Companion	0d2162c2-2fe9-40a7-b3c1-43eab576a64b
